date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:55	67/67	---M--	200	added ('OK')	text/plain	etag:%2243-6163cc7b-0;;;%22	https://themezinho.net/robots.txt		(from )
10:43:55	44999/44999	---M-Z	200	added ('OK')	text/html	etag:%22afc7-5c12a66b-0;gz%22	https://themezinho.net/uon/	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/index.html	(from )
10:43:57	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Feb%202024%2009:43:57%20GMT	http://www.themezinho.net/uon/preview.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/www.themezinho.net/uon/preview.0.delayed	(from https://themezinho.net/uon/)
10:44:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Feb%202024%2009:43:59%20GMT	https://www.themezinho.net/uon/preview.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/www.themezinho.net/uon/preview.1.delayed	(from https://themezinho.net/uon/)
10:44:03	33012/33012	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20Feb%202024%2009:44:03%20GMT	https://themezinho.net/uon/preview.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/preview.2.delayed	(from https://themezinho.net/uon/)
10:44:04	23428/23428	---M--	200	added ('OK')	image/png	etag:%225b84-5c070f48-0;;;%22	https://themezinho.net/uon/ico/apple-touch-icon-144-precomposed.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/ico/apple-touch-icon-144-precomposed.png	(from https://themezinho.net/uon/)
10:44:05	22877/22877	---M--	200	added ('OK')	image/png	etag:%22595d-5c070f48-0;;;%22	https://themezinho.net/uon/ico/apple-touch-icon-114-precomposed.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/ico/apple-touch-icon-114-precomposed.png	(from https://themezinho.net/uon/)
10:44:05	21497/21497	---M--	200	added ('OK')	image/png	etag:%2253f9-5c070f48-0;;;%22	https://themezinho.net/uon/ico/apple-touch-icon-72-precomposed.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/ico/apple-touch-icon-72-precomposed.png	(from https://themezinho.net/uon/)
10:44:06	21092/21092	---M--	200	added ('OK')	image/png	etag:%225264-5c070f49-0;;;%22	https://themezinho.net/uon/ico/apple-touch-icon-57-precomposed.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/ico/apple-touch-icon-57-precomposed.png	(from https://themezinho.net/uon/)
10:44:06	20577/20577	---M--	200	added ('OK')	image/png	etag:%225061-5c070f48-0;;;%22	https://themezinho.net/uon/ico/favicon.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/ico/favicon.png	(from https://themezinho.net/uon/)
10:44:06	57902/57902	---M-Z	200	added ('OK')	text/css	etag:%22e22e-5c17971d-0;gz%22	https://themezinho.net/uon/css/animate.min.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/css/animate.min.css	(from https://themezinho.net/uon/)
10:44:07	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5c17971e-0;gz%22	https://themezinho.net/uon/css/font-awesome.min.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/css/font-awesome.min.css	(from https://themezinho.net/uon/)
10:44:07	8157/8157	---M-Z	200	added ('OK')	text/css	etag:%221fdd-5c17971c-0;gz%22	https://themezinho.net/uon/css/flipbox.min.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/css/flipbox.min.css	(from https://themezinho.net/uon/)
10:44:07	10107/10107	---M-Z	200	added ('OK')	text/css	etag:%22277b-5c17971e-0;gz%22	https://themezinho.net/uon/css/timeline.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/css/timeline.css	(from https://themezinho.net/uon/)
10:44:08	2844/2844	---M-Z	200	added ('OK')	text/css	etag:%22b1c-5c17971d-0;gz%22	https://themezinho.net/uon/css/odometer.min.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/css/odometer.min.css	(from https://themezinho.net/uon/)
10:44:08	14125/14125	---M-Z	200	added ('OK')	text/css	etag:%22372d-5c17971d-0;gz%22	https://themezinho.net/uon/css/fancybox.min.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/css/fancybox.min.css	(from https://themezinho.net/uon/)
10:44:08	18993/18993	---M-Z	200	added ('OK')	text/css	etag:%224a31-5c17971d-0;gz%22	https://themezinho.net/uon/css/swiper.min.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/css/swiper.min.css	(from https://themezinho.net/uon/)
10:44:09	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%2222688-5c17971c-0;gz%22	https://themezinho.net/uon/css/bootstrap.min.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/css/bootstrap.min.css	(from https://themezinho.net/uon/)
10:44:09	72051/72051	---M-Z	200	added ('OK')	text/css	etag:%2211973-5c17971e-0;gz%22	https://themezinho.net/uon/css/style.css	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/css/style.css	(from https://themezinho.net/uon/)
10:44:09	5808/5808	---M--	200	added ('OK')	image/png	etag:%2216b0-5c0ec30d-0;;;%22	https://themezinho.net/uon/images/logo.png	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/images/logo.png	(from https://themezinho.net/uon/)
10:44:10	44999/44999	---M-Z	200	added ('OK')	text/html	etag:%22afc7-5c12a66b-0;gz%22	https://themezinho.net/uon/index.html	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/index-2.html	(from https://themezinho.net/uon/)
10:44:10	33038/33038	---M-Z	200	added ('OK')	text/html	etag:%22810e-5c12a669-0;gz%22	https://themezinho.net/uon/about-us.html	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/about-us.html	(from https://themezinho.net/uon/)
10:44:11	16806/16806	---M-Z	200	added ('OK')	text/html	etag:%2241a6-5c12a66b-0;gz%22	https://themezinho.net/uon/mission-vision.html	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/mission-vision.html	(from https://themezinho.net/uon/)
10:44:11	22813/22813	---M-Z	200	added ('OK')	text/html	etag:%22591d-5c12a670-0;gz%22	https://themezinho.net/uon/team-members.html	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/team-members.html	(from https://themezinho.net/uon/)
10:44:11	19764/19764	---M-Z	200	added ('OK')	text/html	etag:%224d34-5c12a66d-0;gz%22	https://themezinho.net/uon/prices.html	C:/Users/info/OneDrive/Desktop/Kelvin_C&M/nexkels/newC&M/themezinho.net/uon/prices.html	(from https://themezinho.net/uon/)
